ProductID,ProductName,SalesCount,TrendStartDate,TrendEndDate
101,participant,49,2024-01-02,2024-01-21
102,spend,78,2024-01-10,2024-02-13
103,time,19,2024-02-10,2024-02-12
104,eye,46,2024-02-23,2024-01-08
105,red,82,2024-02-16,2024-02-19
106,according,32,2024-02-07,2024-02-01
107,from,95,2024-01-28,2024-01-26
108,person,30,2024-01-20,2024-02-03
109,executive,76,2024-02-19,2024-02-11
110,painting,53,2024-02-21,2024-01-22
111,direction,65,2024-01-01,2024-01-11
112,financial,51,2024-01-28,2024-01-20
113,condition,92,2024-01-02,2024-01-24
114,result,87,2024-02-14,2024-01-25
115,or,74,2024-01-31,2024-01-23
116,course,92,2024-01-19,2024-01-14
117,crime,48,2024-02-13,2024-01-29
118,trip,38,2024-02-22,2024-02-24
119,choice,74,2024-01-08,2024-01-14
120,recognize,97,2024-01-26,2024-02-21
